post_id,date,time,post_text,user_id,followers,friends,favourites,statuses,retweets,label,neg_words_count
637894677824413696,2015-08-30,07:48:37,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,1013187241,84,211,251,837,0,1,6
637890384576778240,2015-08-30,07:31:33,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",1013187241,84,211,251,837,1,1,3
637749345908051968,2015-08-29,22:11:07,Awake but tired. I need to sleep but my brain has other ideas...,1013187241,84,211,251,837,0,1,3
637696421077123073,2015-08-29,18:40:49,RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,1013187241,84,211,251,837,2,1,5
637696327485366272,2015-08-29,18:40:26,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,1013187241,84,211,251,837,1,1,10
637692793083817985,2015-08-29,18:26:24,Making packing lists is my new hobby... #movinghouse,1013187241,84,211,251,837,1,1,3
637691649943072772,2015-08-29,18:21:51,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,1013187241,84,211,251,837,1,1,11
637689418472652800,2015-08-29,18:12:59,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,1013187241,84,211,251,837,0,1,8
637687177946734592,2015-08-29,18:04:05,"Can't be bothered to cook, take away on the way :beaming_face_with_smiling_eyes::thumbs_up_medium-light_skin_tone: #lazy",1013187241,84,211,251,837,0,1,8
637684866906255360,2015-08-29,17:54:54,RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,1013187241,84,211,251,837,41,1,4
637684675557896193,2015-08-29,17:54:08,"... also, I have too much stuff. Way, way too much #movinghouse",1013187241,84,211,251,837,1,1,1
637684322078707712,2015-08-29,17:52:44,I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,1013187241,84,211,251,837,0,1,5
637555158440902656,2015-08-29,09:19:29,Moving stuff is bloomin’ knackering... and there’s still loads to do... :sad_but_relieved_face:,1013187241,84,211,251,837,0,1,7
637550791847510017,2015-08-29,09:02:08,"Back at the house, moving stuff. It’s so peaceful here... I :red_heart: :house_with_garden: :smiling_face_with_smiling_eyes:",1013187241,84,211,251,837,0,1,4
637314209559281664,2015-08-28,17:22:02,Urgh. Anxiety. FFS where does it come from?! (Breathe...),1013187241,84,211,251,837,0,1,2
637310611244892160,2015-08-28,17:07:45,"I have too much stuff. Way, way too much... Massive purge on the way.",1013187241,84,211,251,837,0,1,1
637224036918013953,2015-08-28,11:23:44,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,1013187241,84,211,251,837,0,1,4
637208158553931776,2015-08-28,10:20:38,Packing and purging. Feels good :smiling_face_with_smiling_eyes::thumbs_up_medium-light_skin_tone:,1013187241,84,211,251,837,0,1,6
637181954975252480,2015-08-28,08:36:30,In B&amp;Q looking at internal doors. Fun times :winking_face:,1013187241,84,211,251,837,0,1,5
637145132949766144,2015-08-28,06:10:11,"Time to get up. So many things to do, such a busy day ahead...",1013187241,84,211,251,837,0,1,1
637133358812778496,2015-08-28,05:23:24,It's 6:20... do I get up or lie here a little longer with my cat buddy... :red_question_mark:,1013187241,84,211,251,837,0,1,2
637132570354950145,2015-08-28,05:20:16,There's nothing like cocktails and exhaustion to aid a good night's  sleep...,1013187241,84,211,251,837,0,1,5
636996790693269505,2015-08-27,20:20:44,Great night out with my favourite ladies. Much needed after the past few days. I love them so much :two_hearts:,1013187241,84,211,251,837,0,1,3
636603948711956480,2015-08-26,18:19:43,Sat down on the sofa for a quick rest... an hour ago. Need to move.,1013187241,84,211,251,837,0,1,2
636562582321635329,2015-08-26,15:35:21,How much do I want pizza right now...?,1013187241,84,211,251,837,0,1,1
636443677511057408,2015-08-26,07:42:51,"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",1013187241,84,211,251,837,0,1,2
636441987101655040,2015-08-26,07:36:08,Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,1013187241,84,211,251,837,0,1,4
636439953547882496,2015-08-26,07:28:04,Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,1013187241,84,211,251,837,0,1,5
636429433415581696,2015-08-26,06:46:15,"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",1013187241,84,211,251,837,0,1,6
636242913916264448,2015-08-25,18:25:06,Completed on my house. Got the keys. What a fab day! Whoop! :house_with_garden::party_popper::two_hearts:,1013187241,84,211,251,837,0,1,1
636090260187910144,2015-08-25,08:18:30,"RT @CPHighWycombe: @CatsProtection Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk http…",1013187241,84,211,251,837,70,1,2
636050135546494976,2015-08-25,05:39:04,Big day today :house_with_garden::beaming_face_with_smiling_eyes::party_popper:,1013187241,84,211,251,837,0,1,2
635927041955766273,2015-08-24,21:29:56,How lovely #PandaStory  https://t.co/GgaVEkymp7,1013187241,84,211,251,837,0,1,1
635883090565533696,2015-08-24,18:35:17,RT @SewHQ: The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects! http://t.co…,1013187241,84,211,251,837,4,1,5
635879517026938881,2015-08-24,18:21:05,That's good news at least https://t.co/1S0L7ZAqjr,1013187241,84,211,251,837,0,1,0
635879398315556864,2015-08-24,18:20:37,Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... :sleeping_face:,1013187241,84,211,251,837,0,1,3
635829485284261888,2015-08-24,15:02:17,RT @deliciousmag: On a budget? We have 21 recipes for £1.50 or less a head and they don't compromise on flavour. http://t.co/0CGzPXJLrP htt…,1013187241,84,211,251,837,16,1,2
635827655456198656,2015-08-24,14:55:00,RT @RSPCA_official: RT @ncolondon: @RSPCA_official Please RT for us.... 80yr old dog owner getting very distraught over his lost dog :downcast_face_with_sweat: http…,1013187241,84,211,251,837,238,1,6
635823998379655168,2015-08-24,14:40:28,"RT @BBCCambs: Flying displays by vintage jets ""significantly restricted"" until further notice by CAA - limited to fly pasts.",1013187241,84,211,251,837,1,1,6
